simulation_time,queue_length,completed_orders
15.253093535668402,1,3
15.253093535668402,0,4
20.375469269869143,1,4
20.375469269869143,0,5
20.938195776585786,1,5
20.938195776585786,0,6
40.80221061988376,1,7
40.80221061988376,0,8
80.8623247182778,1,13
80.8623247182778,0,14
105.29015140410786,1,20
105.29015140410786,0,21
165.94073744776924,1,29
165.94073744776924,0,30
190.57164026904988,1,36
190.57164026904988,0,37
210.40761333793438,1,39
210.40761333793438,0,40
210.99399035669046,1,40
210.99399035669046,0,41
240.87639628657544,1,47
240.87639628657544,0,48
255.09068275940604,1,52
255.09068275940604,0,53
270.316836740985,1,54
270.316836740985,0,55
305.2891853419294,1,61
305.2891853419294,0,62
330.38455489237174,1,63
330.38455489237174,0,64
335.4074448269177,1,64
335.4074448269177,0,65
390.87784696308836,1,73
390.87784696308836,0,74
410.8973905203167,1,77
410.8973905203167,0,78
435.4489346652409,1,81
435.4489346652409,0,82
445.3615457657263,1,82
445.3615457657263,0,83
485.1224264983137,1,87
